GridSize,Processes,CalcTime,CommTime,Ratio
50,1,0.027094,0.000150,0.0055
50,4,0.007040,0.002976,0.4227
50,9,0.003069,0.008556,2.7879
50,16,0.001827,0.006808,3.7263
50,25,0.001339,0.006191,4.6236
50,36,0.000959,0.007106,7.4098
100,1,0.108565,0.000171,0.0016
100,4,0.027180,0.003482,0.1281
100,9,0.012151,0.005192,0.4273
100,16,0.007062,0.008755,1.2397
100,25,0.004633,0.007809,1.6855
100,36,0.003151,0.008386,2.6614
200,1,0.429576,0.000178,0.0004
200,4,0.111411,0.005154,0.0463
200,9,0.047577,0.008626,0.1813
200,16,0.027526,0.012959,0.4708
200,25,0.017759,0.008448,0.4757
200,36,0.012492,0.009459,0.7572
400,1,1.710677,0.000305,0.0002
400,4,0.435818,0.006820,0.0156
400,9,0.194153,0.012237,0.0630
400,16,0.112049,0.009360,0.0835
400,25,0.072030,0.010725,0.1489
400,36,0.048603,0.012802,0.2634
800,1,6.777478,0.000479,0.0001
800,4,1.723486,0.031897,0.0185
800,9,0.770393,0.029180,0.0379
800,16,0.433175,0.022183,0.0512
800,25,0.278373,0.029833,0.1072
800,36,0.199734,0.019170,0.0960
